"id","name","description","handle","mpath","is_active","is_internal","rank","parent_category_id","created_at","updated_at","deleted_at","metadata"
"pcat_01KE1PPS9GKDC7MJZVPCN27EXX","Cables","","cables-2","pcat_01KE1PPB81J41E4DHBVBSK81D1.pcat_01KE1PPBAB99K7X0G0J686QQYP.pcat_01KE1PPRXSNCQBHBTMSBZGBK71.pcat_01KE1PPS9GKDC7MJZVPCN27EXX",True,False,2,"pcat_01KE1PPRXSNCQBHBTMSBZGBK71","2026-01-03 10:33:32.208+00","2026-01-03 10:33:32.208+00",NULL,"{""original_id"": ""2407774011"", ""original_path"": ""Electronics > Accessories & Supplies > Cell Phone Accessories > Cables"", ""original_level"": 3}"
"pcat_01KE1PPSBF8MVZ903KA5B6DNRJ","Chargers & Power Adapters","","chargers-power-adapters","pcat_01KE1PPB81J41E4DHBVBSK81D1.pcat_01KE1PPBAB99K7X0G0J686QQYP.pcat_01KE1PPRXSNCQBHBTMSBZGBK71.pcat_01KE1PPSBF8MVZ903KA5B6DNRJ",True,False,3,"pcat_01KE1PPRXSNCQBHBTMSBZGBK71","2026-01-03 10:33:32.271+00","2026-01-03 10:33:32.271+00",NULL,"{""original_id"": ""2407761011"", ""original_path"": ""Electronics > Accessories & Supplies > Cell Phone Accessories > Chargers & Power Adapters"", ""original_level"": 3}"
"pcat_01KE1PPSFHKYWQFERM8T66E8ZP","Charging Stations","","charging-stations","pcat_01KE1PPB81J41E4DHBVBSK81D1.pcat_01KE1PPBAB99K7X0G0J686QQYP.pcat_01KE1PPRXSNCQBHBTMSBZGBK71.pcat_01KE1PPSBF8MVZ903KA5B6DNRJ.pcat_01KE1PPSFHKYWQFERM8T66E8ZP",True,False,1,"pcat_01KE1PPSBF8MVZ903KA5B6DNRJ","2026-01-03 10:33:32.401+00","2026-01-03 10:33:32.401+00",NULL,"{""original_id"": ""12557639011"", ""original_path"": ""Electronics > Accessories & Supplies > Cell Phone Accessories > Chargers & Power Adapters > Charging Stations"", ""original_level"": 4}"
"pcat_01KE1PPSHE75Z2ZWBAKZ6V4752","Solar Chargers","","solar-chargers","pcat_01KE1PPB81J41E4DHBVBSK81D1.pcat_01KE1PPBAB99K7X0G0J686QQYP.pcat_01KE1PPRXSNCQBHBTMSBZGBK71.pcat_01KE1PPSBF8MVZ903KA5B6DNRJ.pcat_01KE1PPSHE75Z2ZWBAKZ6V4752",True,False,2,"pcat_01KE1PPSBF8MVZ903KA5B6DNRJ","2026-01-03 10:33:32.462+00","2026-01-03 10:33:32.462+00",NULL,"{""original_id"": ""2407762011"", ""original_path"": ""Electronics > Accessories & Supplies > Cell Phone Accessories > Chargers & Power Adapters > Solar Chargers"", ""original_level"": 4}"
"pcat_01KE1PPSKBTKNAYS0XN5TMR6WY","Wall Chargers","","wall-chargers","pcat_01KE1PPB81J41E4DHBVBSK81D1.pcat_01KE1PPBAB99K7X0G0J686QQYP.pcat_01KE1PPRXSNCQBHBTMSBZGBK71.pcat_01KE1PPSBF8MVZ903KA5B6DNRJ.pcat_01KE1PPSKBTKNAYS0XN5TMR6WY",True,False,3,"pcat_01KE1PPSBF8MVZ903KA5B6DNRJ","2026-01-03 10:33:32.523+00","2026-01-03 10:33:32.523+00",NULL,"{""original_id"": ""12557637011"", ""original_path"": ""Electronics > Accessories & Supplies > Cell Phone Accessories > Chargers & Power Adapters > Wall Chargers"", ""original_level"": 4}"
"pcat_01KE1PPSN8TRPEQWHXKYHM5R31","Headphones","","headphones","pcat_01KE1PPB81J41E4DHBVBSK81D1.pcat_01KE1PPBAB99K7X0G0J686QQYP.pcat_01KE1PPRXSNCQBHBTMSBZGBK71.pcat_01KE1PPSN8TRPEQWHXKYHM5R31",True,False,4,"pcat_01KE1PPRXSNCQBHBTMSBZGBK71","2026-01-03 10:33:32.584+00","2026-01-03 10:33:32.584+00",NULL,"{""original_id"": ""172541"", ""original_path"": ""Electronics > Accessories & Supplies > Cell Phone Accessories > Headphones"", ""original_level"": 3}"
"pcat_01KE1PPSQE5VNMTE20EDANSX32","Earbud Headphones","","earbud-headphones","pcat_01KE1PPB81J41E4DHBVBSK81D1.pcat_01KE1PPBAB99K7X0G0J686QQYP.pcat_01KE1PPRXSNCQBHBTMSBZGBK71.pcat_01KE1PPSN8TRPEQWHXKYHM5R31.pcat_01KE1PPSQE5VNMTE20EDANSX32",True,False,0,"pcat_01KE1PPSN8TRPEQWHXKYHM5R31","2026-01-03 10:33:32.654+00","2026-01-03 10:33:32.654+00",NULL,"{""original_id"": ""12097478011"", ""original_path"": ""Electronics > Portable Audio & Video > MP3 & MP4 Player Accessories > Headphones > Earbud Headphones"", ""original_level"": 4}"
"pcat_01KE1PPSSM04971ZJ4BHKHAJ56","On-Ear Headphones","","on-ear-headphones","pcat_01KE1PPB81J41E4DHBVBSK81D1.pcat_01KE1PPBAB99K7X0G0J686QQYP.pcat_01KE1PPRXSNCQBHBTMSBZGBK71.pcat_01KE1PPSN8TRPEQWHXKYHM5R31.pcat_01KE1PPSSM04971ZJ4BHKHAJ56",True,False,1,"pcat_01KE1PPSN8TRPEQWHXKYHM5R31","2026-01-03 10:33:32.724+00","2026-01-03 10:33:32.724+00",NULL,"{""original_id"": ""12097480011"", ""original_path"": ""Electronics > Portable Audio & Video > MP3 & MP4 Player Accessories > Headphones > On-Ear Headphones"", ""original_level"": 4}"
"pcat_01KE1PPSVVB9C5Z1FCNRJBREMM","Over-Ear Headphones","","over-ear-headphones","pcat_01KE1PPB81J41E4DHBVBSK81D1.pcat_01KE1PPBAB99K7X0G0J686QQYP.pcat_01KE1PPRXSNCQBHBTMSBZGBK71.pcat_01KE1PPSN8TRPEQWHXKYHM5R31.pcat_01KE1PPSVVB9C5Z1FCNRJBREMM",True,False,2,"pcat_01KE1PPSN8TRPEQWHXKYHM5R31","2026-01-03 10:33:32.795+00","2026-01-03 10:33:32.795+00",NULL,"{""original_id"": ""12097479011"", ""original_path"": ""Electronics > Portable Audio & Video > MP3 & MP4 Player Accessories > Headphones > Over-Ear Headphones"", ""original_level"": 4}"
"pcat_01KE1PPSY1HQ5MT9PFKD8SBKKW","Lens Attachments","","lens-attachments","pcat_01KE1PPB81J41E4DHBVBSK81D1.pcat_01KE1PPBAB99K7X0G0J686QQYP.pcat_01KE1PPRXSNCQBHBTMSBZGBK71.pcat_01KE1PPSY1HQ5MT9PFKD8SBKKW",True,False,5,"pcat_01KE1PPRXSNCQBHBTMSBZGBK71","2026-01-03 10:33:32.866+00","2026-01-03 10:33:32.866+00",NULL,"{""original_id"": ""15124502011"", ""original_path"": ""Electronics > Accessories & Supplies > Cell Phone Accessories > Lens Attachments"", ""original_level"": 3}"
